x,y
0.000,0.000
8.400,2.100
13.020,4.200
13.860,6.300
14.490,8.400
15.330,10.500
15.750,12.600
16.170,14.700
16.380,16.800
15.750,18.900
16.380,21.000
15.960,23.100
15.960,25.200
15.960,27.300
16.590,29.400
16.800,31.500
17.220,33.600
17.430,35.700
17.640,37.800
17.850,39.900
18.480,42.000
18.480,44.100
18.900,46.200
19.530,48.300
20.160,50.400
20.580,52.500
21.000,54.600
21.210,56.700
21.210,58.800
21.210,60.900
20.790,63.000
21.000,65.100
21.210,67.200
21.210,69.300
21.630,71.400
21.420,73.500
21.420,75.600
20.370,77.700
19.740,79.800
18.690,81.900
18.060,84.000
17.640,86.100
15.540,88.200
13.230,90.300
8.820,92.400
5.250,94.500
0.630,96.600
-0.630,96.600
-5.250,94.500
-8.820,92.400
-13.230,90.300
-15.540,88.200
-17.640,86.100
-18.060,84.000
-18.690,81.900
-19.740,79.800
-20.370,77.700
-21.420,75.600
-21.420,73.500
-21.630,71.400
-21.210,69.300
-21.210,67.200
-21.000,65.100
-20.790,63.000
-21.210,60.900
-21.210,58.800
-21.210,56.700
-21.000,54.600
-20.580,52.500
-20.160,50.400
-19.530,48.300
-18.900,46.200
-18.480,44.100
-18.480,42.000
-17.850,39.900
-17.640,37.800
-17.430,35.700
-17.220,33.600
-16.800,31.500
-16.590,29.400
-15.960,27.300
-15.960,25.200
-15.960,23.100
-16.380,21.000
-15.750,18.900
-16.380,16.800
-16.170,14.700
-15.750,12.600
-15.330,10.500
-14.490,8.400
-13.860,6.300
-13.020,4.200
-8.400,2.100
0.000,0.000
