x,y
-4.000,250.000
20.000,240.000
29.000,230.000
35.000,220.000
40.000,210.000
43.000,200.000
45.000,190.000
47.000,180.000
48.000,170.000
48.000,160.000
47.000,150.000
47.000,140.000
45.000,130.000
43.000,120.000
41.000,110.000
39.000,100.000
37.000,90.000
36.000,80.000
35.000,70.000
34.000,60.000
34.000,50.000
33.000,40.000
32.000,30.000
30.000,20.000
24.000,10.000
11.000,0.000
-1.000,-2.000
-14.000,0.000
-27.000,10.000
-33.000,20.000
-35.000,30.000
-35.000,40.000
-35.000,50.000
-33.000,60.000
-31.000,70.000
-29.000,80.000
-27.000,90.000
-27.000,100.000
-28.000,110.000
-30.000,120.000
-34.000,130.000
-38.000,140.000
-41.000,150.000
-43.000,160.000
-45.000,170.000
-46.000,180.000
-47.000,190.000
-46.000,200.000
-45.000,210.000
-42.000,220.000
-37.000,230.000
-29.000,240.000
-7.000,250.000
-4.000,250.000
