x,y
0.0,0.0
40.0,10.0
62.0,20.0
66.0,30.0
69.0,40.0
73.0,50.0
75.0,60.0
77.0,70.0
78.0,80.0
75.0,90.0
78.0,100.0
76.0,110.0
76.0,120.0
76.0,130.0
79.0,140.0
80.0,150.0
82.0,160.0
83.0,170.0
84.0,180.0
85.0,190.0
88.0,200.0
88.0,210.0
90.0,220.0
93.0,230.0
96.0,240.0
98.0,250.0
100.0,260.0
101.0,270.0
101.0,280.0
101.0,290.0
99.0,300.0
100.0,310.0
101.0,320.0
101.0,330.0
103.0,340.0
102.0,350.0
102.0,360.0
97.0,370.0
94.0,380.0
89.0,390.0
86.0,400.0
84.0,410.0
74.0,420.0
63.0,430.0
42.0,440.0
25.0,450.0
3.0,460.0
-3.0,460.0
-25.0,450.0
-42.0,440.0
-63.0,430.0
-74.0,420.0
-84.0,410.0
-86.0,400.0
-89.0,390.0
-94.0,380.0
-97.0,370.0
-102.0,360.0
-102.0,350.0
-103.0,340.0
-101.0,330.0
-101.0,320.0
-100.0,310.0
-99.0,300.0
-101.0,290.0
-101.0,280.0
-101.0,270.0
-100.0,260.0
-98.0,250.0
-96.0,240.0
-93.0,230.0
-90.0,220.0
-88.0,210.0
-88.0,200.0
-85.0,190.0
-84.0,180.0
-83.0,170.0
-82.0,160.0
-80.0,150.0
-79.0,140.0
-76.0,130.0
-76.0,120.0
-76.0,110.0
-78.0,100.0
-75.0,90.0
-78.0,80.0
-77.0,70.0
-75.0,60.0
-73.0,50.0
-69.0,40.0
-66.0,30.0
-62.0,20.0
-40.0,10.0
0.0,0.0
